n,type,avg_time_micro
9800,reversed,856.8
9800,nearly,881.4
9900,random,1485
9900,reversed,840
9900,nearly,887.6
10000,random,1508.4
10000,reversed,880.8
10000,nearly,918
10100,random,1530.6
10100,reversed,889.4
10100,nearly,884.8
10200,random,1505
10200,reversed,861.6
10200,nearly,916.4
10300,random,1536.6
10300,reversed,861.4
10300,nearly,866.4
10400,random,1576.2
10400,reversed,888.2
10400,nearly,985.6
10500,random,1621
10500,reversed,969.6
10500,nearly,930.2
10600,random,1601.6
10600,reversed,938.2
10600,nearly,919.8
10700,random,1614.2
10700,reversed,942.2
10700,nearly,986.8
10800,random,1653.6
10800,reversed,982.2
10800,nearly,999.2
10900,random,1711.8
10900,reversed,971
10900,nearly,1034.2
11000,random,1754.8
11000,reversed,1040
11000,nearly,1020.4
11100,random,1661.4
11100,reversed,966.4
11100,nearly,1018
11200,random,1718.8
11200,reversed,1003.6
11200,nearly,987.8
11300,random,1708.8
11300,reversed,995.4
11300,nearly,1046
11400,random,1713
11400,reversed,1023.4
11400,nearly,1085
11500,random,1787.8
11500,reversed,1075
11500,nearly,1112.6
11600,random,1801
11600,reversed,1053.2
11600,nearly,1071
11700,random,1790.4
11700,reversed,1099.2
11700,nearly,1105.6
11800,random,1829.4
11800,reversed,1116
11800,nearly,1100.4
11900,random,1707.8
11900,reversed,1077.2
11900,nearly,1096.6
12000,random,1781.2
12000,reversed,1027.2
12000,nearly,1084.4
12100,random,1810.2
12100,reversed,1054.8
12100,nearly,1090.8
12200,random,1850.8
12200,reversed,1031.4
12200,nearly,1155.8
12300,random,1860.2
12300,reversed,1085.4
12300,nearly,1142.8
12400,random,1884.6
12400,reversed,1107.8
12400,nearly,1180.8
12500,random,1907.2
12500,reversed,1104.2
12500,nearly,1120.2
12600,random,1835
12600,reversed,1111.6
12600,nearly,1120.8
12700,random,1881.4
12700,reversed,1136.8
12700,nearly,1157
12800,random,1897.6
12800,reversed,1125.6
12800,nearly,1201.6
12900,random,1962.4
12900,reversed,1129.6
12900,nearly,1198
13000,random,2054.8
13000,reversed,1114.2
13000,nearly,1284.4
13100,random,2051.8
13100,reversed,1242.8
13100,nearly,1232.4
13200,random,2043.4
13200,reversed,1189.8
13200,nearly,1220
13300,random,2057.4
13300,reversed,1106.4
13300,nearly,1178.4
13400,random,2091.8
13400,reversed,1155.6
13400,nearly,1219
13500,random,2074.2
13500,reversed,1165.2
13500,nearly,1231.8
13600,random,2124.2
13600,reversed,1151.8
13600,nearly,1246.8
13700,random,2093
13700,reversed,1189.8
13700,nearly,1257
13800,random,2059.6
13800,reversed,1240.6
13800,nearly,1289.2
13900,random,2150.6
13900,reversed,1245.6
13900,nearly,1348
14000,random,2152
14000,reversed,1237.2
14000,nearly,1303.8
14100,random,2183.2
14100,reversed,1179.8
14100,nearly,1300.4
14200,random,2096.8
14200,reversed,1216.2
14200,nearly,1307.8
14300,random,2248
14300,reversed,1232.6
14300,nearly,1277.8
14400,random,2240.2
14400,reversed,1280.4
14400,nearly,1323.6
14500,random,2214.8
14500,reversed,1300.4
14500,nearly,1325
14600,random,2228.4
14600,reversed,1288.8
14600,nearly,1324
14700,random,2257.4
14700,reversed,1295.2
14700,nearly,1331.6
14800,random,2293.2
14800,reversed,1240.2
14800,nearly,1317.6
14900,random,2261.2
14900,reversed,1284.4
14900,nearly,1376
15000,random,2270.2
15000,reversed,1362
15000,nearly,1339
15100,random,2302.2
15100,reversed,1310
15100,nearly,1372.4
15200,random,2342.8
15200,reversed,1362.2
15200,nearly,1395.6
15300,random,2354.2
15300,reversed,1341
15300,nearly,1426.2
15400,random,2395.8
15400,reversed,1348.4
15400,nearly,1359
15500,random,2390.8
15500,reversed,1341.2
15500,nearly,1338.8
15600,random,2388
15600,reversed,1301.8
15600,nearly,1434.4
15700,random,2400.8
15700,reversed,1362.2
15700,nearly,1445.2
15800,random,2468
15800,reversed,1372.4
15800,nearly,1421.8
15900,random,2517
15900,reversed,1403.6
15900,nearly,1484.8
16000,random,2535.6
16000,reversed,1389.4
16000,nearly,1455.6
16100,random,2380
16100,reversed,1392.2
16100,nearly,1446
16200,random,2504.6
16200,reversed,1390
16200,nearly,1492.4
16300,random,2485.8
16300,reversed,1484.2
16300,nearly,1488.8
16400,random,2473.4
16400,reversed,1441.2
