n,type,avg_th5,avg_th10,avg_th20,avg_th30,avg_th50
18200,nearly,1134.6,1115.6,1069.4,1109.4,1083.2
18300,random,2697.6,2568.4,2491.6,2490.4,2535.4
18300,reversed,1332.4,1288,1304.4,1311.2,1629.8
18300,nearly,1105.4,1087.6,1069.6,1063.8,1041.6
18400,random,2707.2,2584.6,2514.6,2501.6,2539.2
18400,reversed,1316.2,1282.6,1313.6,1330.4,1663.8
18400,nearly,1143.4,1142,1139.4,1113.6,1086.8
18500,random,2699.6,2601.2,2568.4,2549.4,2588.8
18500,reversed,1319.2,1283.4,1315.8,1316.6,1644.8
18500,nearly,1167,1152.2,1084.6,1084,1077.2
18600,random,2721.8,2614,2595.2,2559.8,2565
18600,reversed,1441.2,1400.2,1376,1362.4,1691.8
18600,nearly,1176.8,1159.4,1141.6,1138,1110.4
18700,random,2733.4,2618.8,2533.8,2539.4,2583.2
18700,reversed,1405.6,1347.2,1358.6,1358.8,1667.6
18700,nearly,1154,1122.8,1106.2,1130.6,1105.2
18800,random,2747.2,2664.6,2612.8,2595.8,2666.4
18800,reversed,1409.4,1391.2,1447.2,1454.4,1850.6
18800,nearly,1167.4,1152,1124,1098.2,1072.2
18900,random,2779,2657.6,2577,2582,2620.2
18900,reversed,1360,1324.4,1363.8,1367.8,1720.2
18900,nearly,1177,1167.4,1148,1141.6,1104.6
19000,random,2780.6,2684.2,2584.8,2598.8,2648.2
19000,reversed,1388,1334,1387.2,1402.6,1822.4
19000,nearly,1187.8,1173.8,1144.8,1153.4,1107.6
19100,random,2927.8,2798.4,2747.4,2697.2,2716.4
19100,reversed,1439,1386.8,1433,1434.6,1806.6
19100,nearly,1214.2,1205.8,1197.8,1193.2,1155.4
19200,random,2910,2868,2747.2,2736.2,2768.4
19200,reversed,1456,1403.2,1462.2,1473.4,1822.6
19200,nearly,1246,1229.6,1171.6,1166,1130.2
19300,random,2926.4,2726.8,2668,2648.2,2714.4
19300,reversed,1446.8,1407.8,1397,1415.8,1789.4
19300,nearly,1234.2,1224.6,1210.8,1194.4,1120.4
19400,random,2832.6,2775,2672.2,2666.2,2728
19400,reversed,1429.2,1374,1454.2,1432.8,1779
19400,nearly,1230.6,1222.4,1202.8,1200.6,1126.8
19500,random,2867,2741.4,2687.2,2676.6,2779.6
19500,reversed,1466.6,1371.6,1477.8,1483.6,2086
19500,nearly,1185.6,1167.6,1187.6,1202.8,1151.4
19600,random,2862.2,2756.4,2703.2,2678,2746.8
19600,reversed,1456.8,1423.2,1447.4,1415.6,1798.4
19600,nearly,1240.6,1276,1208.4,1203.6,1170.4
19700,random,2889.4,2810.4,2759.2,2741.4,2837.6
19700,reversed,1488,1460.8,1540.4,1540.2,1923
19700,nearly,1251.6,1236.8,1212.8,1211,1180.2
19800,random,2932.2,2768.6,2727.8,2696.4,2752
19800,reversed,1473,1432.6,1448.6,1433.2,1823.8
19800,nearly,1249.4,1240.4,1209.8,1203.4,1174.4
19900,random,2909.6,2798.8,2722.4,2722.8,2780.4
19900,reversed,1457.8,1457.4,1456.8,1456.8,1868.2
19900,nearly,1268.6,1232.2,1208.6,1218.8,1177.2
20000,random,2923.6,2792,2714,2713,2783.6
20000,reversed,1485.4,1451.8,1496.4,1466,1845.4
20000,nearly,1255.6,1235.2,1216.2,1221.6,1175.4
20100,random,2939.8,2827,2788.2,2783,2925
20100,reversed,1510.4,1439.2,1515.2,1457,1868.8
20100,nearly,1269.2,1211.6,1186.6,1183,1150.4
20200,random,2979.8,2868,2818.4,2804.4,2968
20200,reversed,1538.6,1496.2,1548,1546.2,1962.6
20200,nearly,1283.6,1274.4,1275.2,1269.4,1203.4
20300,random,2992.2,2853.4,2790.2,2772,2844.6
20300,reversed,1532,1505.2,1580,1487.8,1900.6
20300,nearly,1244.8,1227.8,1200,1208,1166.6
20400,random,2993.2,2880.8,2791.8,2799.6,2862.6
20400,reversed,1528.2,1455.2,1519.4,1502.8,1942.6
20400,nearly,1328.2,1318.8,1269.6,1226,1184.4
20500,random,3006.2,2888,2829.6,2804.4,2880
20500,reversed,1573.8,1501.8,1574.2,1572.2,2002.8
20500,nearly,1274,1243.6,1219.8,1217.2,1195.8
20600,random,3047.4,2914.2,2828.2,2813.2,2882.4
20600,reversed,1549,1443.2,1501.8,1504.6,1961
20600,nearly,1367.2,1331.6,1221,1212.6,1171.4
20700,random,3038,2922.8,2840.4,2826,2889.2
20700,reversed,1477.6,1466.6,1505.6,1519.6,1963.2
20700,nearly,1327.8,1304.6,1267.6,1222.8,1177.2
20800,random,3061.6,2967.2,2943.2,2939,3071.8
20800,reversed,1480.2,1464.4,1538,1567.4,2161.4
20800,nearly,1359,1322,1285.8,1234.6,1199.2
20900,random,3096,3005.8,2962.8,2962,3068
20900,reversed,1591.6,1525.2,1601.4,1606,2073.8
20900,nearly,1331.6,1313.8,1304.6,1262.8,1203.2
21000,random,3125.4,3009,2931.8,2908.6,3023.6
21000,reversed,1532.8,1506.6,1535.4,1572.8,2035.6
21000,nearly,1390.4,1330.4,1314,1299,1222.8
21100,random,3128,3031.6,2975,2899.2,2975
21100,reversed,1604.8,1560.8,1544.2,1578.2,2036.2
21100,nearly,1398.2,1332.2,1326.6,1298.8,1220
21200,random,3146.2,3066,3014.8,3031.6,3276.4
21200,reversed,1594,1525.8,1544.4,1653.8,2173.2
21200,nearly,1355,1346,1321,1275.4,1231.6
21300,random,3168.2,3079.2,3023.2,2957,3014.2
21300,reversed,1564,1522.2,1529.8,1607.6,2255.6
21300,nearly,1346.8,1365.8,1309,1268.6,1232.2
21400,random,3188.6,3079.8,3009.4,2944,3024.6
21400,reversed,1658.8,1589.4,1544.2,1628.6,2097.8
21400,nearly,1368,1347.6,1339.8,1318,1235.2
21500,random,3215.4,3118.2,3035,2956.2,3054.2
21500,reversed,1568,1529.2,1517.8,1595.4,2097.4
21500,nearly,1343,1338.2,1326.8,1294,1294.4
21600,random,3236.6,3162.4,3084,3017.8,3115
21600,reversed,1708.6,1586.6,1531,1620.6,2113.4
21600,nearly,1348,1370.8,1335.4,1311.8,1233.6
21700,random,3239.6,3166.8,3082.2,2972,3120.8
21700,reversed,1584.2,1553.4,1534.6,1613.4,2126.6
21700,nearly,1356,1359.6,1345.6,1306,1269
21800,random,3285,3191,3076.4,3014.2,3123.6
21800,reversed,1618.8,1572.6,1529.8,1637.4,2143.6
21800,nearly,1355,1353.4,1338,1329.8,1266.4
21900,random,3278.2,3199.6,3106.6,3017.4,3158.2
21900,reversed,1664.2,1599.4,1551,1679.8,2155
21900,nearly,1422.2,1398,1346.6,1316.2,1279.8
22000,random,3327.8,3254.2,3141.2,3067.2,3174.4
22000,reversed,1596,1577.8,1541.2,1640.6,2181.2
22000,nearly,1397,1387,1365.8,1335.6,1284.6
22100,random,3341.4,3255.4,3150.2,3077.8,3212.6
22100,reversed,1699,1579.6,1569.2,1686.2,2190.4
22100,nearly,1419.2,1387.2,1376.8,1361.8,1322
22200,random,3351.6,3262.8,3149,3063.2,3195.4
22200,reversed,1625.2,1589.2,1568.8,1659.6,2201.4
22200,nearly,1381.8,1380.6,1369.8,1337,1295.4
22300,random,3375.8,3282.8,3157.4,3102.6,3217
22300,reversed,1634.4,1612.8,1566.4,1668.8,2213.6
22300,nearly,1456.6,1487.8,1515.6,1468,1407.6
22400,random,3500,3448.4,3316,3327.8,3442
22400,reversed,1773.6,1661.6,1646,1772,2304.2
22400,nearly,1540.6,1425.6,1442,1396,1326.6
22500,random,3410.4,3344.2,3258.8,3170.4,3287
22500,reversed,1697.8,1618.8,1579.4,1685.2,2244.4
22500,nearly,1448.8,1437.2,1406.2,1349.2,1307.6
22600,random,3428.8,3341.2,3213,3141.2,3288.2
22600,reversed,1671.2,1626.6,1607.4,1766,2480.2
22600,nearly,1452.2,1451.6,1436.4,1423.4,1374
22700,random,3434,3363.2,3259,3278,3427.6
22700,reversed,1689.6,1627,1596.6,1715,2296.2
22700,nearly,1484.4,1478.6,1462.4,1428,1373
22800,random,3460.2,3374,3270.8,3254.8,3525.2
22800,reversed,1687.2,1655.8,1623.4,1796.2,2536.8
22800,nearly,1482.6,1422.4,1399.4,1365,1327
22900,random,3485,3369.8,3265.6,3232,3444.4
22900,reversed,1716.4,1670.6,1632.8,1757,2346.6
22900,nearly,1499.6,1486,1461.4,1433,1392
23000,random,3489.8,3406.8,3298,3209.8,3350.2
23000,reversed,1760.4,1657.8,1622.4,1745.4,2346.8
23000,nearly,1489.6,1447.8,1413.2,1382.6,1339.6
23100,random,3526,3424.2,3269.4,3195,3388.4
23100,reversed,1699.8,1670.8,1640.4,1769,2356.4
23100,nearly,1560.8,1492.4,1471.2,1455.6,1388
23200,random,3536.4,3425.8,3318.4,3359.4,3461.4
23200,reversed,1835.4,1857.2,1697.6,1830.8,2688.2
23200,nearly,1518.8,1526.8,1487.2,1462.4,1485
23300,random,3766.6,3643.6,3451.6,4082.6,3541.6
23300,reversed,2114.8,1726.4,1759.2,1851.8,2434.6
23300,nearly,1552.4,1539.2,1548.8,1453,1403.4
23400,random,3591.2,3470.4,3362.4,3316.4,3418.6
23400,reversed,1806.2,1744,1654.8,1785.2,2405.6
23400,nearly,1532.2,1530.2,4201,2438.6,1655.8
23500,random,4146.4,5106.2,3486.6,3371.6,3500.2
23500,reversed,1743,1737,1877.6,1886.8,2653.8
23500,nearly,1574.2,1573.2,1520.8,1457.4,1402.4
23600,random,3632.4,3535.6,3355,3356.4,3565.6
23600,reversed,1781.8,1731.2,1728.2,1851.6,2456.2
23600,nearly,1563.4,1528,1515.6,1470.2,1389.6
23700,random,3641,3479.8,3367.6,3396,3896.6
23700,reversed,1854.6,1756,1711,1940.2,2705.4
23700,nearly,1589.6,1566.2,1536,1473.8,1444.2
23800,random,3655,3522,3535.8,3476.2,3488
23800,reversed,1850.6,1771.6,1692.2,1822.2,2473
23800,nearly,1503.2,1484.4,1459.6,1429.6,1379
23900,random,3654.6,3502.4,3396.4,3379.8,3630
23900,reversed,1906,1813.2,1820.8,1971.2,2652.2
23900,nearly,1556.6,1568.8,6172,1932.8,1995
24000,random,4471.6,3708,3541.8,3568.2,3609.2
24000,reversed,1833.8,1784.8,1718,1863.2,2515
24000,nearly,1576,1897,1567.6,1511.4,1436.6
24100,random,3718.6,3573,3498,3330.2,3513.2
24100,reversed,1900.4,1832,1736.8,1873.2,2526
24100,nearly,1586,1558.2,1576.2,1572,1538
24200,random,3723.8,3556.2,3435,3368.2,3522.4
24200,reversed,1785.2,1743,1725.2,1872,2540.6
24200,nearly,1525.6,1510.4,1500.8,1481.2,1485.6
24300,random,3754.6,3588.4,3469.4,3468.6,3622
24300,reversed,1909.2,1835.6,1768.8,1905.6,2585.6
24300,nearly,1574.4,1588.2,1592.4,1550.4,1491.6
24400,random,3748.8,3609.6,3473,3397.2,3547.8
24400,reversed,1907.4,1863.6,1843.6,1967,2587.6
24400,nearly,1597.6,1550,1536.2,1492,1424.6
24500,random,3794,3621.2,3590,3479.8,3712.2
24500,reversed,1831.4,1772.8,1759.8,1967.4,2595.4
24500,nearly,1534.2,1520.2,1550.8,1491.2,1423.2
24600,random,3804,3630.2,3547.2,3550.6,3851.2
24600,reversed,2061.4,1828.4,1844.8,2079,2646.8
24600,nearly,1566.6,1570.4,1558.2,1530.6,1430
24700,random,3834.8,3684.8,3556.4,3498.4,3627
24700,reversed,1877.2,9689,2788.2,2205,2670.2
24700,nearly,1560.8,1545.8,1556.6,1495.6,1450
24800,random,3845.2,3656,3544.4,3541,3821.8
24800,reversed,1990.8,1949.6,1870.6,1984,2638.2
24800,nearly,1584.6,1563,1540.2,1507.6,1457.2
24900,random,3845.4,3690.8,3571.6,3500.2,3670
24900,reversed,1939.6,1889.2,1865.8,1965.6,2713.2
24900,nearly,1590.2,1608,1595.2,1552.8,1499.4
25000,random,3882,3697,3549.4,3508.6,3664.2
25000,reversed,1945,1908.8,1860.6,2013.6,2804.6
25000,nearly,1648.2,1626.6,1600.4,1568.2,1512.8
25100,random,3922,3801.6,3574.4,3519.2,3693
25100,reversed,2047,1873,1838.2,2064.2,2712.2
25100,nearly,1641.2,1625,1623.8,1577.6,1530.2
25200,random,3897,3728,3633,3691.2,4019.6
25200,reversed,1896,1848.4,1935.6,2213.6,3279.2
25200,nearly,1738.6,1667.4,1623,1574.4,1536
25300,random,3911.8,3732.6,3591,3538.6,3708.2
25300,reversed,1940.6,1911.8,1862.6,2110,3076.4
25300,nearly,1691.2,1669.6,1631.6,1597.4,1547.2
25400,random,3917,3770,3673.2,3696.8,3967.8
25400,reversed,1903.8,1956,1867.8,2040.4,3067.8
25400,nearly,1657.2,1646.6,1580.2,1540.2,1795
25500,random,7902.6,6338.6,5799.2,5161,4441.2
25500,reversed,3133.8,8837.2,2465.2,3831.8,3133
25500,nearly,1676.6,1670.6,1631.8,1593.2,1541.2
25600,random,4028.8,4131.6,3804.8,3928.2,4068
25600,reversed,1973.6,2605,2680.4,2184.2,3080.6
25600,nearly,1722,2202.6,2959,2246,1608.8
25700,random,4007,3820.2,3684,3640.2,3828.8
25700,reversed,1918.8,1866.8,1917.2,2091.8,2651.8
25700,nearly,1727,1700,1647,1631.2,1582.4
25800,random,4030.8,3853,3747.2,3709.6,3714.2
25800,reversed,1942.8,1871.2,1854,2041.2,2524.4
25800,nearly,1730.4,1708.2,1684.8,1647.6,1639.8
25900,random,4000.6,4103.4,3753.2,3689,3735.2
25900,reversed,1957.6,1863,1859.8,2191.8,2484.6
25900,nearly,1702.4,1672.4,1679.6,1683,1656.2
26000,random,4174,4071,3737.6,3713.6,3692.4
26000,reversed,1946.4,1928.2,1921,2129.2,2243.4
26000,nearly,1783.8,1667.2,1615.6,1581.6,1568.4
26100,random,4039.4,3865.4,3767,3703,3653.4
26100,reversed,1946.8,1892.8,2035.8,2111.2,2102.4
26100,nearly,1721.8,1709.6,1692.8,1662.2,1657.8
26200,random,4542.8,4147.2,3893.6,3821.8,3852.6
26200,reversed,2045.4,1984.6,1897.8,2167.4,2167.2
26200,nearly,1767.8,1731.4,1686.2,1683.4,1679
26300,random,4183,3987.6,3844.4,3782.6,3761.8
26300,reversed,2096.6,1985.6,1951.4,2155,2166
26300,nearly,1796.2,1756,1732,1696.8,1694
26400,random,4147,4015.2,3858.4,3760.4,3771.4
26400,reversed,1989.4,1918.4,1907.4,2173,2352
26400,nearly,1946.4,1799,1661.4,1595.6,1603
26500,random,4113.6,3946.2,3847.8,3739.2,3710
26500,reversed,2109.2,2023,1938,2116.2,2129
26500,nearly,1690,1666,1636.6,1620.2,1600.8
26600,random,4105.6,3928,3831.6,3751,3717.6
26600,reversed,1990,1912.4,1904.8,2112.4,2110.6
26600,nearly,1772.4,1754.6,1718.6,1687,1687.2
26700,random,4139.2,3967,3905.4,3779.4,3739.4
26700,reversed,2041.4,1954,1936.2,2160.8,2150.8
26700,nearly,1760.4,1757.8,1730,1693.4,1688.4
26800,random,4175.4,3975.4,3885.8,3791.2,3747.6
26800,reversed,2079,1987.6,1921.2,2152.4,2154.2
26800,nearly,1784.8,1758.8,1737.2,1685,1693.4
26900,random,4168.6,3993,3892.2,3875.4,3821.4
26900,reversed,2055.8,1998,1940.4,2161.6,2157.6
26900,nearly,1784,1761.2,1737.6,1700.8,1698.8
27000,random,4185.4,4001.6,3877,3823,3800
27000,reversed,2098.6,1968.8,1956.8,2187.4,2173
27000,nearly,1729,1691.8,1665.4,1624.4,1624
27100,random,4252,4072.8,3921.6,3928.4,3827.6
27100,reversed,2127.2,1986.8,1966.8,2205.4,2201.2
27100,nearly,1783.4,1778.4,1706.2,1721,1729
27200,random,4211.6,4016.4,3925,3877.6,3844.8
27200,reversed,2128.4,2070.8,2061.2,2255.2,2214
27200,nearly,1769,1740.2,1728.2,1748,1749.2
27300,random,4218.6,4066.6,3944.8,3857,3845.8
27300,reversed,2038.4,1973.8,1966.2,2204.8,2206
27300,nearly,1759.8,1730.2,1703.8,1664,1664.8
27400,random,4242.4,4060,3940.2,3862.8,3836.8
27400,reversed,2104,1999.8,1966.2,2205.8,2208.6
27400,nearly,1844,1831,1816.2,1751.8,1750.8
27500,random,4259.4,4087.8,3959.2,3871.6,3854
27500,reversed,2085.2,1986,2311.2,3582.6,2873.8
27500,nearly,1969.6,1818.4,1794.2,1771.2,1717.2
27600,random,4306.8,4250.8,4096.2,4030.8,3989.8
27600,reversed,2243.6,2021.8,2077.4,2401.6,2393.6
27600,nearly,1879.6,1849.6,1822.2,1747,1713.6
27700,random,4324.8,4141.8,4013.8,3906.4,3900
27700,reversed,2143.4,2071,2023.6,2279.6,2261.8
27700,nearly,1861.6,1794.2,1747.8,1706.4,1708
27800,random,4328.8,4121,4044.8,3932.2,3925.8
27800,reversed,2256,2188.4,2181,2445,2445.6
27800,nearly,1920.8,1977.6,1830.2,1795.6,1799.2
27900,random,4342.2,4184,4046.8,3981.4,3929.8
27900,reversed,2224.4,2175.2,2186.8,2423.2,2439.8
27900,nearly,1846.6,1838.6,1807.6,1764.2,1759.6
28000,random,4402.2,4191.2,4236.6,4342.2,4542
28000,reversed,2185.6,2040.8,2057.6,2328.6,2295.8
28000,nearly,1916.8,1886.8,1846,1799,1809.2
28100,random,4363.4,4206.4,4049,3948.8,3945.6
28100,reversed,2116.6,2063,2126.8,2392.4,2386.4
28100,nearly,1894.2,1870.6,1870.6,1820.6,1755
28200,random,4388.4,4193.8,4093.8,3975.8,3980.2
28200,reversed,2260.8,2154.6,2114,2310.4,2313.4
28200,nearly,1870.8,1860.8,1865,1844,1820
28300,random,4405.2,4243.6,4168.6,4031.4,3986.4
28300,reversed,2140.6,2039.4,2074,2440.8,2505.2
28300,nearly,1857.4,1897,1872.8,1811,1788.4
28400,random,4360,4235.6,4293.2,4150.4,4044.8
28400,reversed,2319.8,2265.2,2280.4,2547.8,2707.8
28400,nearly,1916.4,1907,1858.6,1825.6,1812.4
28500,random,4453.2,4301.8,4109,4215.6,4155.4
28500,reversed,2267.6,2100.6,2093.2,2387.6,2386.2
28500,nearly,1905.6,1873,1870.6,1823.2,1828.8
28600,random,4453.8,4272,4182.2,4077,4091.2
28600,reversed,2199.4,2107.6,2073.4,2362,2358.8
28600,nearly,1902.4,1876,1850.4,1806.6,1741.2
28700,random,4435.8,4297.2,4291,4111.8,4059.4
28700,reversed,2241.2,2075.6,2078.8,2375,2363
28700,nearly,1912.2,1855.2,1808.4,1760,1772
28800,random,4456.2,4303.2,4179.8,4075.6,4084.2
28800,reversed,2139,2097,2095.2,2389.4,2383
28800,nearly,1940.8,1899.2,1863.4,1865.8,1841.8
28900,random,4467.2,4308.8,4174.8,4108.6,4239.6
28900,reversed,2222.6,2092.8,2123,2393.4,2394.8
28900,nearly,1847.4,1908,1865.8,1755,1760
29000,random,4502.4,4316.6,4231,4136.4,4098
29000,reversed,2177.6,2099.2,2122.8,2412,2412.4
29000,nearly,1867.6,1851.2,1826.4,1777,1776
29100,random,4523.4,4337.8,4183.4,4165.6,4121
29100,reversed,2167.6,2101.8,2112,2409,2422.2
29100,nearly,1977.6,2026.2,1992,1987.8,1838.6
29200,random,4530.8,4376.2,4407.6,4266.2,4136.4
29200,reversed,2364.6,2218.4,2217.2,2494.8,2526
29200,nearly,1918.2,1905.8,1883.6,2032.2,1923.4
29300,random,4573.8,4410.6,4205.6,4170.8,4157.6
29300,reversed,2183.6,2260.6,2269.8,2632.2,2592
29300,nearly,1994,1966.6,1927.6,1876.4,1864.2
29400,random,4541.2,4412.2,4305,4329.2,4221
29400,reversed,2288.8,2135.6,2156,2490.8,2484.2
29400,nearly,1998.4,1970.2,1933.2,1905,1895
29500,random,4582.6,4423,4253.4,4185.2,4182.2
29500,reversed,2190.4,2140,2139.4,2457,2455
29500,nearly,1908.6,1895.4,1861.6,1822.4,1820.4
29600,random,4592.6,4418,4508.8,4308.8,4215.8
29600,reversed,2337.4,2259.2,2194.8,2493.6,2493.4
29600,nearly,2049.4,1964.6,1992.2,1895.4,1920
29700,random,4605.8,4481.2,4330.6,4299.8,4245.2
29700,reversed,2290.2,2181,2195,2581,2641.8
29700,nearly,2018.2,2033,1995.8,1949,1900.6
29800,random,4615,4466.6,4316.2,4265,4220
29800,reversed,2238.6,2169.8,2183.2,2514.2,2508
29800,nearly,1921,1898.8,1873,1822.2,1820.4
29900,random,4616.6,4454.2,4359.2,4242.6,4379.8
29900,reversed,2338,2207.8,2224,2653,2646.6
29900,nearly,2020.4,2024,1965.6,1855.8,1850.6
30000,random,4662.4,4531.6,4380.4,4404.4,4282.8
30000,reversed,2377.2,2225.4,2242,2578.8,2570
30000,nearly,1974,2046.4,1919.2,1872.2,1875
30100,random,4679,4518.6,4521.8,4386,4284.4
30100,reversed,2253.4,2193.2,2193.6,2528.2,2530
30100,nearly,2039.8,2017.6,1987.2,1918.4,1879.6
30200,random,4690,4533.4,4359.2,4318.8,4280.8
30200,reversed,2260.8,2204,2224,2551.4,2550.2
30200,nearly,1967.4,1967.2,1953.8,1888.4,1912.4
30300,random,4707.8,4565.4,4380.2,4325.4,4319
30300,reversed,2335.2,2210.2,2227.8,2587.2,2580.8
30300,nearly,1993,2006.2,1996.4,1944.2,1946.4
30400,random,4716,4582,4397.8,4364,4318.2
30400,reversed,2333.8,2293.4,2320.4,2765.8,2583
30400,nearly,2043,2003.8,1999,1938.2,1872.4
30500,random,4744.6,4600.8,4376.4,4362.8,4342.8
30500,reversed,2363.2,2285.8,2228,2582.4,2588.4
30500,nearly,2060.8,2051,2027.6,1979,1925.4
30600,random,4758.4,4574.8,4409.8,4344,4352.4
30600,reversed,2377,2223.8,2245,2598.8,2605.4
30600,nearly,1989.6,1969.6,1938.8,1891.8,1896
30700,random,4776.8,4610.4,4445.8,4430,4395.2
30700,reversed,2413.6,2352.6,2361.4,2714.8,2714.4
30700,nearly,2029.6,1983.2,2030.6,1922.6,1904.6
30800,random,4783.2,4665.6,4471.8,4510.8,4501.2
30800,reversed,2412.4,2252.8,2294.8,2667.2,2631.6
30800,nearly,2059.4,2053.6,2015.2,1964.2,1912.2
30900,random,4807.8,4661.4,4474.2,4520.2,4412.2
30900,reversed,2352,2327,2413.8,2869.2,2637.4
30900,nearly,2081.4,2008.8,1985.8,1954,1925
31000,random,4827.2,4681.2,4493.8,4471,4478
31000,reversed,2497.6,2420.4,2447.2,2709.6,2790.2
31000,nearly,2163.4,2063.8,2033.6,1992.4,1905
31100,random,4826.2,4683.2,4477.8,4465.8,4482.8
31100,reversed,2490,2408,2419.6,2653.6,2737.8
31100,nearly,2116.8,2104,2004,2028.4,2000
31200,random,4842.6,4727.4,4482.2,4467.4,4462.8
31200,reversed,2433.6,2331.6,2378.6,2671.2,2775
31200,nearly,2125,2032.6,1998.4,1980,2008.8
31300,random,4871.8,4750.4,4791.2,6008.4,4646.6
31300,reversed,2365,2297.4,2410.2,2561.8,2711.4
31300,nearly,2113.8,2095.2,2034.4,1972,1933.6
31400,random,4906.8,4709.6,4497.4,4481.6,4535.4
31400,reversed,2404.8,2327.2,2448.2,2519,2858.8
31400,nearly,2140.8,2115.6,2121,2028.6,1942.2
31500,random,4891.8,4751.4,4517.6,4518.8,4509.2
31500,reversed,2404.6,2362.6,2338.6,2431.2,2714.6
31500,nearly,2186.4,2121.6,2094.4,2135.4,2051.6
31600,random,4930.8,4746.2,4524.4,4514.2,4579.6
31600,reversed,2478.6,2381.4,2364.6,2400,2756.2
31600,nearly,2142.6,2119.4,2087.4,2088.6,2044.8
31700,random,4941.8,4805.4,4557.8,4640.4,4731.8
31700,reversed,3885.8,2413.6,2344.4,2751.4,4645.8
31700,nearly,2349.6,2120.2,2193.8,2217.8,3937.4
31800,random,5303.4,4869.8,5118.4,4930.2,5963.2
31800,reversed,2595.2,2432.4,2689.4,2857.2,3228.4
31800,nearly,2215,2195.6,2151.8,2191.6,2741.4
31900,random,5523.8,5369.6,5590.4,5831,5068.4
31900,reversed,3122.2,2486.4,2417.8,2443.8,2871.2
31900,nearly,2203.6,2134.2,2154.4,2185.8,2075
32000,random,5112.2,4877.6,4704.8,4741,4755
32000,reversed,2627,2477,2358,2360.4,2784
32000,nearly,2191.4,2153.4,2145.6,2145,2095.2
32100,random,5013.6,4773.6,4596.4,4584,4609.8
32100,reversed,2594.4,2354.8,2399.4,2386.4,2813
32100,nearly,2128.8,2120.4,2058.4,2052.8,2003
32200,random,5043.2,4865.4,4617.4,4611.8,4693.2
32200,reversed,2421.6,2354.8,2387.4,2368.4,2801.4
32200,nearly,2148.2,2133.2,2118,2127.8,2083.6
32300,random,5019.6,4833.8,4805.2,4691,4677.8
32300,reversed,2531,2386.2,2389.6,2403.8,2818
32300,nearly,2178.6,2171.2,2149,2140.8,2131.6
32400,random,5106.8,4918,4758.2,4756.8,4736
32400,reversed,2443.8,2370.4,2387.6,2397.6,2830.4
32400,nearly,2197.8,2174.8,2092,2064.6,2075.6
32500,random,5067.6,4900.4,4727.2,4675.8,4664.4
32500,reversed,2548.6,2394.4,2397,2395.8,2832.8
32500,nearly,2123.6,2129,2077.6,2072,2024.8
32600,random,5066.8,4915,4745.8,4694.4,4831.6
32600,reversed,2602,2544,2560.4,2546.6,2854.2
32600,nearly,2240.8,2220,2189.8,2208.4,2203.4
32700,random,5243,4884.6,4690.4,4814.8,5095.8
32700,reversed,2551,2454.8,2472.8,2460.2,3021.6
32700,nearly,2297.6,2215.6,2190.2,2177.8,2094.8
32800,random,5136.4,4918.8,4816.2,4765.6,4715
32800,reversed,2687,2451.8,2422,2460,3019.6
32800,nearly,2239,2246,2168.2,2170.4,2121.8
32900,random,5137.2,4907.4,4728.4,4731.6,4799.6
32900,reversed,2551.6,2498.4,2446.8,2422.2,2889
32900,nearly,2252,2222.8,2191.8,2177,2133.8
33000,random,5169,4930.8,4812,4853.2,4906.4
33000,reversed,2578.4,2510.6,2484.4,2457.4,2901.4
33000,nearly,2244.6,2220.8,2198,2188.6,2105.6
33100,random,5156,4954.6,4816,4785.8,4866.2
33100,reversed,2558.4,2434,2488.8,2461.2,2924
33100,nearly,2258.8,2237.2,2200.6,2196.4,2146
33200,random,5197.2,5013.6,4860.8,4784.4,4878.8
33200,reversed,2755.8,2611.6,2463.4,2499.2,3132.8
33200,nearly,2323,2254.8,2223,2223.4,2161.4
33300,random,5203.6,5051,4791,4819.4,4788.6
33300,reversed,2506.4,2443,2466.2,2470.6,2949.8
33300,nearly,2298.6,2262.2,2183.8,2169.2,2111.6
33400,random,5346.6,4981.4,4779.4,4778,4861.2
33400,reversed,2653.4,2531.6,2563.8,2475.4,2964.4
33400,nearly,2176,2194.8,2276.6,2323,2189.4
33500,random,5533.4,5260.6,4872,4923,4829.6
33500,reversed,2586,2531.4,2574.6,2519.4,2978.6
33500,nearly,2214.2,2206.6,2167.4,2162.6,2114
33600,random,5292.4,5039.8,4820.4,4810.2,4900.4
33600,reversed,2624,2499.4,2499.2,2492.2,3000.4
33600,nearly,2218.4,2226.4,2203.6,2221.6,2140.6
33700,random,5286.6,5014.2,4845,4824,4859.6
33700,reversed,2763.8,2682.6,2627.4,2595.6,3034.8
33700,nearly,2277.4,2206,2166.2,2169.2,2116.2
33800,random,5314.6,5108.6,4977.4,4936.8,4912.2
33800,reversed,2655,2580.8,2589.4,2569.4,3068
33800,nearly,2236.4,2195.8,2267.6,2245.2,2136.2
33900,random,5309.2,5063,5261,4859,4840.6
33900,reversed,2739.4,2466.6,2495.6,2599,3049.4
33900,nearly,2253.6,2254,2198.6,2186.6,2138.6
34000,random,5740.2,5316.2,5034.4,4880.6,4912.6
34000,reversed,2651.4,2536.8,2598,2619.2,3102.6
34000,nearly,2335,2255.4,2213.2,2298,2228.4
34100,random,5353.6,5092,4930.8,4899.8,4940.6
34100,reversed,2665,2623.6,2627.2,2543.2,3048.4
34100,nearly,2323.2,2316.2,2296.8,2292.8,2213
