n,type,avg_th5,avg_th10,avg_th20,avg_th30,avg_th50
4200,nearly,228.4,216.4,214.4,190.8,186.6
4300,random,556.2,510.8,503.2,502.8,510.4
4300,reversed,280.6,266,273.2,266.6,333.8
4300,nearly,218.6,208.4,205.2,205,193.8
4400,random,552,519.8,508.4,496.6,507.8
4400,reversed,289,269.4,273.6,283,355.6
4400,nearly,230.4,228.2,219,216.4,208.6
4500,random,574.8,548.8,533.8,530.2,553.6
4500,reversed,288.2,281,291.2,288,382.6
4500,nearly,222.8,221,223.6,222.8,215.8
4600,random,575.6,550,537.6,535,574.6
4600,reversed,297.8,298.2,294.4,295.4,367.4
4600,nearly,227.8,216,215.4,214.8,206
4700,random,587.2,556.8,552.8,559.4,596.6
4700,reversed,307.4,293.8,294,317.2,432.6
4700,nearly,249,240.8,218,221.8,210
4800,random,631.8,585.4,560.6,554.6,558.8
4800,reversed,301.2,294.8,311.4,308.2,424.4
4800,nearly,237.4,231.6,227.2,222.8,224.6
4900,random,611.6,600,568,572.8,619.2
4900,reversed,299.8,293,324,315.6,437
4900,nearly,242.4,238.6,230.2,229.2,219.4
5000,random,629.4,599.4,587.8,587.6,627.8
5000,reversed,311.2,301.8,327.6,329.6,453
5000,nearly,249.4,249,247.2,247.6,241.2
5100,random,640.8,614.4,603.2,595.6,636
5100,reversed,332.8,329,349.8,348.2,481.6
5100,nearly,261,260.8,247.6,244.8,242.2
5200,random,667.8,637.2,629.6,617.2,677
5200,reversed,333.2,333.8,336.2,356.6,459
5200,nearly,266.2,269.8,256.8,255.8,241.6
5300,random,700.8,652.4,638.2,621.6,661.6
5300,reversed,348.6,333.6,342.4,357.8,512.2
5300,nearly,261,269,261.8,258.6,251.4
5400,random,691.8,682.8,650.8,659,669.2
5400,reversed,339.4,334.8,330.2,351.2,473.2
5400,nearly,278.4,277.4,263.8,257.6,247.8
5500,random,710.2,689.4,669,647.8,666
5500,reversed,363.6,343.2,335,357.4,492.2
5500,nearly,280.4,278.2,278.6,264,253.2
5600,random,724.2,702.8,680.6,673.4,729
5600,reversed,368.6,371.4,367.2,382,525.6
5600,nearly,292,286.6,285.2,281.4,274
5700,random,753,742.2,691.6,693.2,729
5700,reversed,381.2,362,352.8,372.6,518.6
5700,nearly,294.2,301.8,288,286,274.2
5800,random,770,736.2,704.6,696,710.6
5800,reversed,382.2,383.8,369.8,423.4,580.2
5800,nearly,297.6,294.8,294,278.4,266
5900,random,783,745.4,718,709.2,738.6
5900,reversed,382.6,368.6,358.4,408.2,613.4
5900,nearly,308.4,301.4,296.2,287.6,275.4
6000,random,797.8,757.8,724,707.2,752.6
6000,reversed,393.4,382.4,378.6,405,573.8
6000,nearly,317.2,308.8,304.8,289.2,292
6100,random,813.6,776,749.6,729.8,776.6
