algorithm,dataset,size,comparisons,time_microseconds
mergesort,almost_sorted,2200,29035,3715
mergesort,random,2300,34427,4383
mergesort,reversed,2300,20513,3736
mergesort,almost_sorted,2300,30834,4089
mergesort,random,2400,36269,4573
mergesort,reversed,2400,21202,3748
mergesort,almost_sorted,2400,32331,4080
mergesort,random,2500,37837,4947
mergesort,reversed,2500,22189,4087
mergesort,almost_sorted,2500,33916,4298
mergesort,random,2600,39791,4950
mergesort,reversed,2600,23036,4447
mergesort,almost_sorted,2600,35108,4689
mergesort,random,2700,41394,6214
mergesort,reversed,2700,24028,4271
mergesort,almost_sorted,2700,36909,4745
mergesort,random,2800,43295,5348
mergesort,reversed,2800,25045,4424
mergesort,almost_sorted,2800,38483,4832
mergesort,random,2900,44996,5499
mergesort,reversed,2900,26081,4775
mergesort,almost_sorted,2900,39597,5392
mergesort,random,3000,46681,6095
mergesort,reversed,3000,27443,4977
mergesort,almost_sorted,3000,40685,5295
string_quicksort,random,100,902,20
string_quicksort,reversed,100,1121,27
string_quicksort,almost_sorted,100,933,24
string_quicksort,random,200,1886,46
string_quicksort,reversed,200,2610,67
string_quicksort,almost_sorted,200,2380,62
string_quicksort,random,300,2713,72
string_quicksort,reversed,300,4878,126
string_quicksort,almost_sorted,300,4309,110
string_quicksort,random,400,3896,106
string_quicksort,reversed,400,6057,153
string_quicksort,almost_sorted,400,6239,161
string_quicksort,random,500,4931,138
string_quicksort,reversed,500,8740,226
string_quicksort,almost_sorted,500,8274,212
string_quicksort,random,600,5840,165
string_quicksort,reversed,600,11439,292
string_quicksort,almost_sorted,600,10139,263
string_quicksort,random,700,6588,193
string_quicksort,reversed,700,14758,376
string_quicksort,almost_sorted,700,12075,311
string_quicksort,random,800,8142,235
string_quicksort,reversed,800,17243,433
string_quicksort,almost_sorted,800,13298,342
string_quicksort,random,900,8728,255
string_quicksort,reversed,900,20618,526
string_quicksort,almost_sorted,900,15393,398
string_quicksort,random,1000,10215,303
string_quicksort,reversed,1000,24689,610
string_quicksort,almost_sorted,1000,17450,451
string_quicksort,random,1100,11339,335
string_quicksort,reversed,1100,27667,698
string_quicksort,almost_sorted,1100,23080,592
string_quicksort,random,1200,12028,357
string_quicksort,reversed,1200,31186,786
string_quicksort,almost_sorted,1200,25860,663
string_quicksort,random,1300,14602,425
string_quicksort,reversed,1300,35769,907
string_quicksort,almost_sorted,1300,29724,778
string_quicksort,random,1400,14598,431
string_quicksort,reversed,1400,41678,1055
string_quicksort,almost_sorted,1400,30292,781
string_quicksort,random,1500,15865,470
string_quicksort,reversed,1500,45127,1121
string_quicksort,almost_sorted,1500,33062,871
string_quicksort,random,1600,16652,500
string_quicksort,reversed,1600,51620,1291
string_quicksort,almost_sorted,1600,42553,1090
string_quicksort,random,1700,18989,559
string_quicksort,reversed,1700,55281,1376
string_quicksort,almost_sorted,1700,47890,1242
string_quicksort,random,1800,20087,600
string_quicksort,reversed,1800,61425,1591
string_quicksort,almost_sorted,1800,48373,1307
string_quicksort,random,1900,21098,636
string_quicksort,reversed,1900,68592,1732
string_quicksort,almost_sorted,1900,52693,1364
string_quicksort,random,2000,21388,644
string_quicksort,reversed,2000,72726,1781
string_quicksort,almost_sorted,2000,62931,1675
string_quicksort,random,2100,22823,718
string_quicksort,reversed,2100,78842,2073
string_quicksort,almost_sorted,2100,56309,1544
string_quicksort,random,2200,24512,780
string_quicksort,reversed,2200,86315,2245
string_quicksort,almost_sorted,2200,74197,1994
string_quicksort,random,2300,25582,786
string_quicksort,reversed,2300,93695,2419
string_quicksort,almost_sorted,2300,76173,1978
string_quicksort,random,2400,26589,806
string_quicksort,reversed,2400,101442,2572
string_quicksort,almost_sorted,2400,83382,2161
string_quicksort,random,2500,27582,835
string_quicksort,reversed,2500,107038,2710
string_quicksort,almost_sorted,2500,89424,2322
string_quicksort,random,2600,28866,883
string_quicksort,reversed,2600,114817,2899
string_quicksort,almost_sorted,2600,89586,2305
string_quicksort,random,2700,33203,988
string_quicksort,reversed,2700,121864,3081
string_quicksort,almost_sorted,2700,78049,2017
string_quicksort,random,2800,33361,994
string_quicksort,reversed,2800,132290,3339
string_quicksort,almost_sorted,2800,81473,2107
string_quicksort,random,2900,34167,1024
string_quicksort,reversed,2900,139474,3526
string_quicksort,almost_sorted,2900,86783,2235
string_quicksort,random,3000,34453,1044
string_quicksort,reversed,3000,149878,3767
string_quicksort,almost_sorted,3000,91990,2389
string_mergesort_lcp,random,100,986,138
string_mergesort_lcp,reversed,100,551,127
string_mergesort_lcp,almost_sorted,100,623,126
string_mergesort_lcp,random,200,2010,300
string_mergesort_lcp,reversed,200,1139,276
